date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-05-06,893.0,303.0,238.0,264.0,267.0,200.0,413.0,225.0,299.0,252.0,220.0,106.0,110.0,152.0,102.0,107.0,63.0,48.0,405600.0,21.0,21.0,47259.67,6.19,10960.0,1216.07,51503.0
2019-05-13,524.0,173.0,193.0,144.0,162.0,103.0,192.0,147.0,193.0,172.0,137.0,91.0,61.0,86.0,91.0,49.0,54.0,24.0,285600.0,19.0,18.0,47468.14,7.98,8291.0,909.18,40308.0
2019-05-20,861.0,341.0,244.0,219.0,211.0,214.0,334.0,187.0,221.0,171.0,193.0,80.0,100.0,61.0,82.0,108.0,63.0,96.0,285600.0,21.0,21.0,47945.52,3.65,10798.0,900.72,12307.0
2019-05-27,981.0,317.0,216.0,210.0,156.0,165.0,386.0,159.0,327.0,218.0,190.0,71.0,134.0,69.0,83.0,113.0,63.0,0.0,433200.0,18.0,20.0,48033.56,12.81,12101.0,1095.27,46259.0
2019-06-03,1195.0,233.0,279.0,307.0,166.0,359.0,268.0,221.0,284.0,259.0,229.0,114.0,76.0,84.0,105.0,115.0,53.0,288.0,424800.0,26.0,25.0,48485.82,7.15,11812.0,877.19,39129.0
2019-06-10,1013.0,362.0,374.0,251.0,232.0,325.0,394.0,194.0,338.0,263.0,254.0,102.0,134.0,120.0,112.0,130.0,63.0,168.0,454800.0,25.0,25.0,48656.32,8.9,11884.0,1062.6,24491.0
2019-06-17,1406.0,427.0,521.0,446.0,310.0,433.0,457.0,267.0,382.0,352.0,296.0,139.0,139.0,214.0,136.0,126.0,63.0,384.0,523200.0,22.0,19.0,48677.9,36.78,8895.0,752.93,26138.0
2019-06-24,1632.0,337.0,440.0,417.0,452.0,377.0,348.0,227.0,304.0,374.0,235.0,172.0,146.0,187.0,129.0,149.0,63.0,432.0,480000.0,21.0,22.0,49002.44,6.51,10077.0,783.75,28868.0
2019-07-01,1353.0,392.0,357.0,348.0,418.0,306.0,395.0,215.0,340.0,307.0,229.0,153.0,133.0,198.0,134.0,132.0,63.0,576.0,420000.0,22.0,21.0,48941.19,0.7,8581.0,990.56,38181.0
2019-07-08,1684.0,501.0,473.0,405.0,483.0,457.0,384.0,271.0,315.0,294.0,256.0,166.0,161.0,215.0,137.0,164.0,63.0,1752.0,441600.0,25.0,25.0,48439.35,3.95,11958.0,1253.54,49736.0
2019-07-15,1248.0,520.0,425.0,352.0,385.0,418.0,301.0,208.0,196.0,36.0,205.0,134.0,215.0,254.0,149.0,170.0,45.0,2208.0,526800.0,31.0,26.0,48448.89,12.42,14980.0,961.03,49789.0
2019-07-22,2027.0,792.0,821.0,684.0,902.0,565.0,479.0,426.0,249.0,164.0,353.0,231.0,288.0,534.0,239.0,226.0,54.0,2352.0,597600.0,29.0,28.0,48900.35,18.5,12082.0,834.66,37085.0
2019-07-29,2284.0,937.0,1125.0,954.0,852.0,684.0,497.0,391.0,276.0,234.0,371.0,214.0,370.0,424.0,219.0,256.0,63.0,2400.0,616800.0,30.0,26.0,49872.39,2.5300000000000002,5584.0,1000.25,21213.0
2019-08-05,2043.0,878.0,960.0,824.0,804.0,669.0,549.0,493.0,403.0,216.0,318.0,246.0,369.0,512.0,245.0,208.0,63.0,2568.0,624000.0,31.0,29.0,49061.24,12.22,9203.0,637.88,30578.0
2019-08-12,1848.0,933.0,803.0,649.0,806.0,539.0,508.0,423.0,395.0,247.0,342.0,240.0,370.0,587.0,220.0,204.0,63.0,1920.0,590400.0,28.0,25.0,49039.6,12.540000000000001,9159.0,1184.15,37244.0
2019-08-19,1671.0,772.0,773.0,676.0,812.0,575.0,564.0,386.0,443.0,220.0,341.0,241.0,267.0,499.0,192.0,150.0,63.0,864.0,598800.0,27.0,29.0,48702.74,47.99,11862.0,1078.28,38621.0
2019-08-26,1568.0,734.0,649.0,597.0,725.0,576.0,454.0,362.0,293.0,198.0,289.0,204.0,281.0,435.0,201.0,150.0,63.0,504.0,612000.0,27.0,27.0,49105.6,1.36,5531.0,728.13,26451.0
2019-09-02,923.0,533.0,496.0,449.0,458.0,410.0,393.0,317.0,356.0,195.0,237.0,146.0,266.0,300.0,156.0,142.0,63.0,360.0,572400.0,24.0,25.0,49291.53,9.1,9042.0,749.12,36514.0
2019-09-09,831.0,453.0,484.0,304.0,264.0,304.0,400.0,270.0,422.0,116.0,245.0,152.0,178.0,237.0,142.0,128.0,63.0,336.0,492000.0,22.0,20.0,48388.22,36.43,10506.0,1117.92,38820.0
2019-09-16,937.0,485.0,404.0,313.0,226.0,265.0,367.0,188.0,349.0,150.0,239.0,88.0,169.0,195.0,77.0,134.0,63.0,24.0,360000.0,21.0,20.0,48489.03,10.01,10419.0,1088.42,45145.0
2019-09-23,980.0,412.0,369.0,213.0,246.0,257.0,310.0,199.0,343.0,104.0,269.0,91.0,187.0,200.0,74.0,78.0,63.0,0.0,364800.0,17.0,19.0,48337.1,5.08,9014.0,1035.39,41278.0
2019-09-30,612.0,275.0,196.0,128.0,122.0,173.0,279.0,133.0,260.0,73.0,151.0,57.0,102.0,126.0,62.0,97.0,54.0,48.0,369600.0,21.0,20.0,48410.73,67.97,13452.0,1200.87,34451.0
2019-10-07,1303.0,548.0,454.0,304.0,300.0,296.0,423.0,161.0,375.0,94.0,245.0,74.0,169.0,150.0,78.0,140.0,54.0,1152.0,429600.0,23.0,21.0,47648.59,34.37,12234.0,1076.35,26420.0
