date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,135,101,100,141,97,56,60,130,139,136,34,52,53,126,98,19,18,62,105,99,81,58,109,55,145,133,104,51,95,54,103,116,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-25,615.0,182.0,222.0,170.0,83.0,128.0,187.0,102.0,185.0,141.0,117.0,95.0,89.0,68.0,6.0,94.0,67.0,117.0,55.0,44.0,27.0,0.0,25.0,30.0,0.0,56.0,25.0,42.0,49.0,25.0,49.0,3.0,1.0,45.0,32.0,12.0,9.0,0.0,0.0,49.0,0.0,16.0,9.0,13.0,26.0,0.0,7.0,95.0,102.0,21.0,25.0,1.0,13.0,14.0,0.0,7.0,15.0,14.0,17.0,0.0,0.0,23.0,0.0,0.0,51.0,216.0,92400.0,11.0,11.0,46889.77,1.18,10243.0,862.25,35334.0
2019-03-04,877.0,246.0,296.0,221.0,165.0,183.0,234.0,154.0,175.0,189.0,150.0,114.0,130.0,96.0,6.0,139.0,54.0,127.0,65.0,64.0,34.0,0.0,19.0,29.0,37.0,53.0,77.0,39.0,89.0,27.0,35.0,0.0,0.0,41.0,33.0,16.0,21.0,0.0,0.0,38.0,0.0,30.0,8.0,17.0,21.0,0.0,30.0,145.0,125.0,19.0,21.0,15.0,12.0,10.0,0.0,6.0,15.0,20.0,30.0,1.0,0.0,22.0,0.0,0.0,48.0,408.0,154800.0,16.0,14.0,47039.76,20.4,10664.0,1018.67,40543.0
2019-03-11,810.0,213.0,164.0,135.0,72.0,108.0,207.0,92.0,126.0,189.0,119.0,62.0,133.0,66.0,0.0,71.0,64.0,116.0,68.0,73.0,18.0,0.0,27.0,25.0,9.0,68.0,95.0,40.0,74.0,24.0,28.0,0.0,7.0,44.0,45.0,7.0,18.0,0.0,0.0,37.0,0.0,0.0,10.0,23.0,24.0,0.0,19.0,118.0,125.0,28.0,0.0,14.0,14.0,6.0,0.0,4.0,33.0,21.0,20.0,0.0,0.0,11.0,0.0,0.0,52.0,192.0,184800.0,17.0,14.0,46965.52,35.83,13840.0,1504.76,40903.0
2019-03-18,684.0,204.0,171.0,136.0,82.0,147.0,182.0,96.0,155.0,157.0,189.0,86.0,88.0,95.0,0.0,88.0,62.0,116.0,45.0,64.0,26.0,0.0,26.0,22.0,20.0,57.0,37.0,45.0,39.0,25.0,33.0,51.0,11.0,22.0,40.0,7.0,5.0,0.0,0.0,24.0,0.0,14.0,15.0,26.0,24.0,0.0,7.0,138.0,130.0,28.0,0.0,7.0,12.0,11.0,0.0,3.0,16.0,0.0,9.0,1.0,0.0,26.0,0.0,0.0,45.0,96.0,121200.0,14.0,14.0,47014.7,44.15,12630.0,1834.75,42120.0
2019-03-25,803.0,236.0,309.0,101.0,119.0,174.0,207.0,92.0,182.0,177.0,162.0,75.0,116.0,81.0,32.0,150.0,75.0,99.0,40.0,81.0,29.0,0.0,32.0,22.0,27.0,84.0,57.0,55.0,6.0,37.0,41.0,70.0,0.0,69.0,30.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,14.0,15.0,0.0,0.0,151.0,147.0,28.0,12.0,0.0,8.0,7.0,0.0,7.0,0.0,15.0,0.0,1.0,0.0,8.0,0.0,0.0,51.0,0.0,135600.0,14.0,13.0,47156.0,4.52,11492.0,934.02,44168.0
2019-04-01,992.0,279.0,450.0,134.0,129.0,260.0,291.0,108.0,104.0,270.0,229.0,111.0,163.0,89.0,0.0,190.0,75.0,149.0,33.0,87.0,38.0,0.0,32.0,31.0,45.0,87.0,37.0,80.0,52.0,53.0,49.0,8.0,49.0,45.0,18.0,16.0,11.0,0.0,0.0,10.0,0.0,14.0,10.0,20.0,33.0,0.0,17.0,209.0,174.0,28.0,45.0,4.0,8.0,24.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,50.0,0.0,157200.0,18.0,17.0,46945.73,0.94,9535.0,838.05,37813.0
2019-04-08,999.0,368.0,280.0,263.0,149.0,228.0,248.0,105.0,111.0,263.0,226.0,95.0,149.0,118.0,0.0,135.0,76.0,147.0,40.0,66.0,35.0,24.0,38.0,34.0,35.0,66.0,155.0,52.0,48.0,35.0,43.0,1.0,0.0,0.0,48.0,10.0,33.0,0.0,0.0,10.0,0.0,16.0,16.0,25.0,21.0,0.0,19.0,173.0,161.0,23.0,29.0,15.0,7.0,14.0,0.0,8.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,216.0,182400.0,17.0,17.0,47383.37,23.78,9560.0,785.44,25973.0
2019-04-15,1086.0,426.0,424.0,367.0,226.0,331.0,255.0,143.0,168.0,273.0,213.0,75.0,183.0,146.0,59.0,115.0,81.0,130.0,110.0,107.0,29.0,50.0,40.0,30.0,29.0,66.0,64.0,71.0,54.0,33.0,39.0,14.0,0.0,26.0,11.0,15.0,14.0,11.0,0.0,27.0,0.0,51.0,20.0,26.0,19.0,0.0,24.0,198.0,203.0,43.0,7.0,15.0,10.0,18.0,0.0,9.0,30.0,18.0,13.0,2.0,0.0,0.0,0.0,0.0,54.0,720.0,350400.0,21.0,23.0,46809.41,2.5100000000000002,6460.0,1190.84,11588.0
2019-04-22,1608.0,674.0,604.0,614.0,442.0,468.0,413.0,360.0,345.0,331.0,412.0,201.0,257.0,344.0,63.0,207.0,180.0,238.0,141.0,191.0,72.0,160.0,82.0,86.0,86.0,129.0,88.0,49.0,68.0,48.0,51.0,153.0,11.0,47.0,85.0,21.0,27.0,22.0,0.0,20.0,0.0,60.0,18.0,33.0,29.0,0.0,27.0,249.0,192.0,40.0,2.0,26.0,20.0,13.0,0.0,7.0,48.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,63.0,2280.0,453600.0,22.0,22.0,47792.7,0.0,1871.0,1152.66,14458.0
