Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
13.04.2018;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2018;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2018;NS;09:20:00;SP4;SP;10:00:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2018;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2018;NS;10:40:00;SP4;SP;11:20:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2018;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2018;NS;05:30:00;SP4;SP;06:10:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
21.04.2018;NS;12:40:00;SP4;SP;13:20:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
22.04.2018;NS;13:00:00;SP4;SP;13:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
23.04.2018;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
24.04.2018;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2018;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
26.04.2018;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2018;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2018;NS;19:40:00;SP4;SP;20:20:00;1;Fahrplan 2018;0;1;0;0;0;;0;0;Banderole 1;0
28.04.2018;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
30.04.2018;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2018;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2018;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2018;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2018;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2018;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2018;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2018;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2018;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2018;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2018;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2018;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2018;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2018;NS;09:50:00;SP4;SP;10:30:00;1;Fahrplan 2018;0;1;0;0;0;;0;0;Banderole 1;0
17.05.2018;NS;10:10:00;SP4;SP;10:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2018;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2018;NS;05:20:00;SP4;SP;06:00:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2018;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
23.05.2018;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2018;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.05.2018;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
26.05.2018;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
28.05.2018;NS;08:10:00;SP4;SP;08:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2018;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
