Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
21.01.2020;NS;08:10:00;SP4;SP;08:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2020;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2020;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2020;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
24.01.2020;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2020;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2020;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2020;NS;10:10:00;SP4;SP;10:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2020;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2020;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2020;NS;11:50:00;SP4;SP;12:30:00;1;Fahrplan 2020;0;10;0;0;0;;0;0;Banderole 1;0
03.02.2020;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
04.02.2020;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2020;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2020;NS;16:00:00;SP4;SP;16:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
06.02.2020;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
07.02.2020;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2020;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
11.02.2020;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
12.02.2020;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
12.02.2020;NS;14:40:00;SP4;SP;15:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
13.02.2020;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
14.02.2020;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
17.02.2020;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
