Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
06.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.04.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.04.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2017;NS;10:40:00;SP4;SP;11:20:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2017;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2017;NS;05:30:00;SP4;SP;06:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2017;NS;14:45:00;SP4;SP;15:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2017;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2017;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.05.2017;NS;08:50:00;SP4;SP;09:30:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2017;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2017;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2017;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
26.05.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;0;0;0;;0;0;Banderole 1;0
27.05.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2017;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;1;0;0;0;;0;0;Banderole 1;0
03.06.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
06.06.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.06.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2017;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
09.06.2017;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.06.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.06.2017;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
14.06.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.06.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.06.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.06.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.06.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
22.06.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.06.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
26.06.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
27.06.2017;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.06.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
29.06.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2017;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
03.07.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
06.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.07.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.07.2017;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.07.2017;NS;09:50:00;SP4;SP;10:30:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.07.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.07.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.07.2017;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
14.07.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.07.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;0;0;0;;0;0;Banderole 1;0
17.07.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.07.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.07.2017;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
25.07.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
26.07.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
27.07.2017;NS;11:50:00;SP4;SP;12:30:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.07.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
29.07.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
31.07.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
01.08.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
03.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.08.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.08.2017;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
09.08.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.08.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.08.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
14.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.08.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.08.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
17.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.08.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.08.2017;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
22.08.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.08.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.08.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
25.08.2017;NS;05:15:00;SP4;SP;05:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.08.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
29.08.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
30.08.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
31.08.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
01.09.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.09.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
