Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
06.03.2023;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
07.03.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2023;NS;12:45:00;SP4;SP;13:25:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
08.03.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2023;NS;13:00:00;SP4;SP;13:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
09.03.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2023;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
13.03.2023;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2023;NS;15:30:00;SP4;SP;16:10:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
14.03.2023;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2023;NS;14:30:00;SP4;SP;15:10:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
