date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2022-01-17,0.0,0.0,0.0,0.0,0.0,12.0,12.0,46633.54,0.47,13568.0,1119.82,43172.0
2022-01-24,0.0,0.0,0.0,0.0,0.0,12.0,12.0,46722.35,5.65,13456.0,1260.06,47371.0
2022-01-31,0.0,0.0,0.0,168.0,0.0,15.0,15.0,46769.72,5.8,13439.0,1587.27,44592.0
2022-02-07,0.0,0.0,0.0,360.0,0.0,14.0,14.0,46851.67,34.9,13636.0,1737.49,44831.0
2022-02-14,0.0,0.0,0.0,384.0,31200.0,17.0,17.0,46825.65,5.9,13700.0,1414.55,39558.0
2022-02-21,220.0,112.0,11.0,528.0,238800.0,14.0,14.0,46941.52,75.94,13457.0,2012.23,41410.0
2022-02-28,352.0,200.0,27.0,408.0,244800.0,17.0,18.0,46750.64,17.64,6148.0,1382.59,37235.0
2022-03-07,620.0,292.0,41.0,144.0,242400.0,14.0,14.0,46381.47,0.0,6730.0,759.57,17850.0
2022-03-14,554.0,313.0,40.0,168.0,242400.0,16.0,16.0,46886.18,8.16,6724.0,1087.18,24323.0
2022-03-21,566.0,331.0,39.0,96.0,242400.0,16.0,16.0,47035.95,10.06,6446.0,996.03,22779.0
2022-03-28,323.0,263.0,27.0,0.0,243600.0,17.0,16.0,46910.47,0.0,4234.0,555.88,33284.0
2022-04-04,617.0,350.0,40.0,72.0,295200.0,19.0,21.0,46564.77,14.97,14189.0,1263.83,27073.0
2022-04-11,780.0,458.0,44.0,696.0,453600.0,22.0,21.0,46977.2,31.59,12272.0,1443.52,43031.0
2022-04-18,1789.0,941.0,54.0,2112.0,564000.0,22.0,23.0,47490.1,0.53,10091.0,925.65,27494.0
2022-04-25,1484.0,609.0,49.0,1248.0,477600.0,23.0,23.0,47522.05,0.5800000000000001,4049.0,1176.39,10618.0
2022-05-02,550.0,451.0,42.0,0.0,304800.0,21.0,21.0,47293.57,0.0,9112.0,641.75,38296.0
2022-05-09,561.0,325.0,33.0,0.0,285600.0,18.0,19.0,47581.95,2.36,10331.0,572.42,39232.0
2022-05-16,654.0,460.0,37.0,0.0,285600.0,18.0,17.0,48166.71,10.870000000000001,10986.0,984.79,34472.0
2022-05-23,752.0,474.0,41.0,48.0,433200.0,20.0,18.0,48380.03,24.14,12618.0,810.44,33418.0
2022-05-30,1123.0,739.0,55.0,408.0,424800.0,28.0,25.0,47925.48,21.64,11644.0,1418.38,46813.0
2022-06-06,1006.0,523.0,50.0,96.0,454800.0,23.0,23.0,48009.71,29.78,10355.0,904.79,23390.0
2022-06-13,1292.0,765.0,53.0,456.0,523200.0,23.0,23.0,48352.31,13.08,9186.0,985.84,40018.0
2022-06-20,1273.0,732.0,58.0,240.0,480000.0,22.0,21.0,48436.14,14.27,11628.0,713.57,37384.0
2022-06-27,1266.0,739.0,55.0,24.0,417600.0,29.0,27.0,48793.97,23.28,9820.0,679.15,30545.0
2022-07-04,1832.0,807.0,60.0,216.0,400800.0,31.0,29.0,48937.15,8.66,8991.0,851.07,31894.0
2022-07-11,1479.0,805.0,57.0,864.0,441600.0,33.0,29.0,48520.56,15.95,13265.0,1272.08,51184.0
2022-07-18,1526.0,713.0,48.0,1416.0,526800.0,31.0,27.0,48779.8,6.92,12858.0,867.74,45789.0
2022-07-25,1829.0,955.0,53.0,1920.0,597600.0,33.0,27.0,49127.88,15.92,10746.0,854.62,38925.0
2022-08-01,1752.0,926.0,50.0,2496.0,616800.0,31.0,27.0,48736.44,15.84,12290.0,891.31,38378.0
2022-08-08,1759.0,969.0,48.0,2688.0,624000.0,36.0,25.0,48952.47,4.3500000000000005,8809.0,723.23,40919.0
2022-08-15,1582.0,957.0,44.0,2448.0,590400.0,31.0,26.0,49438.39,4.95,5532.0,708.79,12795.0
2022-08-22,1289.0,750.0,49.0,1944.0,598800.0,33.0,29.0,49025.21,14.63,9819.0,641.91,34069.0
2022-08-29,1114.0,721.0,44.0,1200.0,612000.0,31.0,27.0,49226.76,2.48,8979.0,1011.13,34153.0
2022-09-05,773.0,514.0,35.0,624.0,572400.0,24.0,23.0,48917.92,0.0,9200.0,1120.28,14895.0
2022-09-12,808.0,660.0,43.0,288.0,492000.0,23.0,23.0,48656.42,28.93,12683.0,768.1899999999999,22038.0
2022-09-19,774.0,520.0,46.0,0.0,360000.0,20.0,19.0,48285.21,66.52,12000.0,1500.01,51904.0
2022-09-26,776.0,468.0,41.0,0.0,364800.0,20.0,19.0,48002.17,22.96,11605.0,819.0,37310.0
2022-10-03,857.0,537.0,42.0,0.0,412800.0,21.0,22.0,47860.53,47.54,11720.0,989.26,44723.0
2022-10-10,496.0,305.0,14.0,240.0,408000.0,26.0,25.0,48020.68,6.13,9340.0,1341.23,37711.0
2022-10-17,1315.0,660.0,42.0,672.0,352800.0,26.0,26.0,47890.97,11.67,11538.0,944.61,35956.0
2022-10-24,1347.0,658.0,47.0,1152.0,367200.0,25.0,22.0,47974.590000000004,26.17,14236.0,1034.75,31537.0
2022-10-31,1146.0,601.0,36.0,1464.0,350400.0,20.0,20.0,48203.0,2.3899999999999997,13043.0,916.54,33465.0
2022-11-07,493.0,323.0,31.0,624.0,204000.0,16.0,16.0,47746.45,18.11,12442.0,1499.63,35289.0
2022-11-14,289.0,240.0,27.0,0.0,124800.0,13.0,12.0,47573.7,2.77,12386.0,1249.62,30891.0
2022-11-21,224.0,132.0,25.0,24.0,93600.0,14.0,14.0,46597.87,32.26,13448.0,1302.03,19797.0
2022-11-28,265.0,141.0,30.0,0.0,72000.0,15.0,14.0,46901.35,29.44,11670.0,1167.49,30030.0
2022-12-05,351.0,199.0,35.0,0.0,54000.0,14.0,14.0,46566.7,7.8100000000000005,16312.0,1133.97,12831.0
2022-12-12,441.0,211.0,31.0,0.0,66000.0,13.0,13.0,46061.69,9.45,13536.0,865.94,36969.0
2022-12-19,262.0,118.0,27.0,0.0,37200.0,12.0,12.0,45759.69,6.220000000000001,12482.0,1068.1,32339.0
2022-12-26,271.0,110.0,15.0,1776.0,67200.0,14.0,14.0,46993.24,15.110000000000001,14182.0,1011.07,34968.0
2023-01-02,653.0,465.0,46.0,2688.0,318000.0,16.0,17.0,47283.62,41.41,14048.0,1624.95,37629.0
2023-01-09,452.0,374.0,34.0,1032.0,141600.0,21.0,20.0,47169.02,25.48,12278.0,1353.6,36525.0
2023-01-16,0.0,0.0,0.0,0.0,0.0,13.0,13.0,47003.91,44.89,13187.0,1654.29,36971.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,14.0,13.0,46165.12,6.83,12619.0,1099.84,28094.0
2023-01-30,0.0,0.0,0.0,120.0,0.0,14.0,12.0,46371.01,5.0200000000000005,13775.0,1070.52,32607.0
2023-02-06,0.0,0.0,0.0,312.0,7200.0,16.0,16.0,46791.68,17.43,12463.0,1417.28,37392.0
2023-02-13,135.0,81.0,18.0,336.0,55200.0,13.0,13.0,46508.04,0.32,11924.0,908.61,38475.0
2023-02-20,455.0,263.0,18.0,432.0,162000.0,14.0,14.0,46968.5,11.35,13034.0,1147.86,37272.0
2023-02-27,622.0,448.0,43.0,288.0,216000.0,13.0,13.0,46810.53,7.73,11952.0,1101.05,29090.0
2023-03-06,304.0,209.0,28.0,24.0,81600.0,17.0,13.0,46502.99,6.03,12095.0,838.0,36355.0
2023-03-13,380.0,245.0,30.0,168.0,88800.0,14.0,13.0,46427.35,9.06,13031.0,1279.37,33351.0
2023-03-20,359.0,199.0,26.0,96.0,87600.0,16.0,13.0,47067.95,11.29,13163.0,1055.99,37161.0
2023-03-27,426.0,218.0,25.0,48.0,140400.0,21.0,22.0,47031.26,31.37,11857.0,1401.01,40936.0
2023-04-03,1251.0,625.0,46.0,576.0,387600.0,26.0,26.0,47038.44,16.47,11500.0,1171.88,25907.0
2023-04-10,1611.0,763.0,52.0,2112.0,530400.0,25.0,17.0,47015.24,3.73,10109.0,813.25,18131.0
2023-04-17,960.0,474.0,30.0,1272.0,466800.0,25.0,23.0,47193.46,22.41,9995.0,968.17,22417.0
2023-04-24,588.0,342.0,35.0,240.0,250800.0,19.0,17.0,47536.46,16.669999999999998,8359.0,1175.29,20092.0
2023-05-01,321.0,257.0,27.0,0.0,304800.0,22.0,20.0,47133.35,7.0200000000000005,9535.0,948.21,38091.0
2023-05-08,490.0,360.0,43.0,0.0,285600.0,19.0,19.0,47595.62,14.17,12381.0,1005.0600000000001,25252.0
2023-05-15,600.0,431.0,44.0,48.0,315600.0,19.0,17.0,47906.89,31.48,12444.0,776.46,22400.0
2023-05-22,1205.0,766.0,52.0,384.0,454800.0,28.0,25.0,47836.57,17.55,11388.0,1019.73,26208.0
2023-05-29,1163.0,715.0,53.0,96.0,447600.0,25.0,25.0,47764.91,0.21,8833.0,1134.14,34115.0
2023-06-05,1352.0,776.0,57.0,648.0,442800.0,25.0,25.0,47899.95,0.11,7137.0,882.14,23454.0
2023-06-12,1264.0,678.0,50.0,240.0,450000.0,21.0,22.0,48369.33,0.0,4593.0,962.7,17820.0
