Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
21.01.2021;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2021;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2021;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2021;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2021;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2021;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2021;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2021;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2021;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2021;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
01.02.2021;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2021;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2021;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
04.02.2021;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2021;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
08.02.2021;NS;08:10:00;SP4;SP;08:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
09.02.2021;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
09.02.2021;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2021;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2021;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
11.02.2021;NS;08:10:00;SP4;SP;08:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
12.02.2021;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
15.02.2021;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
16.02.2021;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
17.02.2021;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
18.02.2021;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
19.02.2021;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
22.02.2021;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
22.02.2021;NS;14:45:00;SP4;SP;15:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
23.02.2021;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2021;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
25.02.2021;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
25.02.2021;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2021;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2021;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2021;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2021;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2021;NS;14:45:00;SP4;SP;15:25:00;1;Fahrplan 2021;0;10;1;1;1;;1;0;Banderole 1;0
