Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
02.04.2023;NS;11:45:00;SP2;SP;13:15:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
02.04.2023;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.04.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.04.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2023;NS;10:45:00;SP2;SP;12:15:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
07.04.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
08.04.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
09.04.2023;NS;12:15:00;SP2;SP;13:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.04.2023;NS;12:40:00;SP2;SP;13:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.04.2023;NS;18:00:00;SP2;SP;18:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.04.2023;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.04.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
13.04.2023;NS;13:00:00;SP2;SP;13:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
