Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
27.10.2022;NS;10:00:00;SP4;SP+;11:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
27.10.2022;SP+;16:00:00;SP1;NS;16:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
25.10.2022;NS;09:30:00;SP1;SHD;12:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
25.10.2022;NS;09:30:00;SP1;SP+;11:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
25.10.2022;SP+;14:25:00;SP1;NS;15:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
22.10.2022;NS;10:45:00;SP4;SHD;12:45:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
18.10.2022;NS;13:40:00;SP2;SP+;15:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
18.10.2022;SP+;18:25:00;SP1;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
16.10.2022;NS;13:40:00;SP2;SP+;15:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
16.10.2022;SP+;18:25:00;SP1;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
14.10.2022;NS;12:40:00;SP2;SP+;14:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
14.10.2022;SP+;17:25:00;SP1;NS;18:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
11.10.2022;NS;11:00:00;SP2;SP+;12:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
11.10.2022;SP+;16:00:00;SP1;NS;16:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
09.10.2022;NS;09:40:00;SP2;SP+;11:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
09.10.2022;SP+;14:25:00;SP1;NS;15:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
07.10.2022;NS;10:30:00;SP4;SHD;13:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
07.10.2022;NS;10:30:00;SP4;SP+;12:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
07.10.2022;SP+;19:00:00;SP2;NS;19:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
03.10.2022;NS;13:45:00;SP4;SHD;16:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
03.10.2022;NS;13:45:00;SP4;SP+;15:15:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
03.10.2022;SP+;18:25:00;SP1;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
02.10.2022;NS;13:40:00;SP2;SP+;15:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
02.10.2022;SP+;18:25:00;SP1;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
28.09.2022;NS;11:40:00;SP2;SP+;13:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
28.09.2022;SP+;16:25:00;SP1;NS;17:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
25.09.2022;NS;09:45:00;SP4;SHD;12:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
25.09.2022;NS;09:45:00;SP4;SP+;11:15:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
25.09.2022;SP+;14:25:00;SP1;NS;15:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
18.09.2022;NS;13:30:00;SP1;SHD;16:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
18.09.2022;NS;13:30:00;SP1;SP+;15:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
18.09.2022;SP+;18:25:00;SP2;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
16.09.2022;NS;12:30:00;SP1;SHD;15:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
16.09.2022;NS;12:30:00;SP1;SP+;14:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
16.09.2022;SP+;17:25:00;SP2;NS;18:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
13.09.2022;NS;12:15:00;SP2;SP+;13:45:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
13.09.2022;SP+;17:00:00;SP1;NS;17:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
11.09.2022;NS;10:40:00;SP2;SP+;12:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
11.09.2022;SP+;15:25:00;SP1;NS;16:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
09.09.2022;NS;12:00:00;SP4;SHD;14:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
03.09.2022;NS;13:40:00;SP2;SP+;15:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
03.09.2022;SP+;19:00:00;SP1;NS;19:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
31.08.2022;NS;12:25:00;SP2;SP+;13:55:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
31.08.2022;SP+;17:25:00;SP1;NS;18:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
30.08.2022;NS;11:40:00;SP2;WAT;15:40:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
28.08.2022;NS;10:40:00;SP2;SP+;12:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
28.08.2022;SP+;16:00:00;SP1;NS;16:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
26.08.2022;NS;09:40:00;SP2;SP+;11:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
26.08.2022;SP+;14:25:00;SP1;NS;15:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
24.08.2022;NS;11:00:00;SP4;SHD;13:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
19.08.2022;NS;13:45:00;SP2;SP+;15:15:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
19.08.2022;SP+;19:00:00;SP1;NS;19:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
17.08.2022;NS;13:40:00;SP2;SP+;15:10:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;0;;0;0;Banderole 1;0
17.08.2022;SP+;18:25:00;SP1;NS;19:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
15.08.2022;NS;12:15:00;SP2;WAT;16:15:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
