Verkehrstage;Starthafen;;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
04.04.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2020;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2020;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2020;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
09.04.2020;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
11.04.2020;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
11.04.2020;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
12.04.2020;NS;18:30:00;SP2;SP;19:10:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
13.04.2020;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
14.04.2020;NS;13:00:00;SP2;SP;13:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2020;NS;08:15:00;SP2;SP;08:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2020;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2020;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2020;NS;14:00:00;SP2;SP;14:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2020;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2020;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
21.05.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
21.05.2020;NS;21:00:00;SP2;SP;21:40:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
22.05.2020;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2020;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2020;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2020;NS;14:15:00;SP2;SP;14:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2020;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2020;NS;18:15:00;SP2;SP;18:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
03.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
03.06.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
04.06.2020;NS;20:40:00;SP2;SP;21:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
05.06.2020;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
05.06.2020;NS;14:45:00;SP2;SP;15:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
06.06.2020;NS;10:15:00;SP2;SP;10:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
07.06.2020;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2020;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2020;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
09.06.2020;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
10.06.2020;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
12.06.2020;NS;14:00:00;SP2;SP;14:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
14.06.2020;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
14.06.2020;NS;15:45:00;SP2;SP;16:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
15.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
15.06.2020;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
17.06.2020;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
17.06.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
18.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
18.06.2020;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
19.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
19.06.2020;NS;20:40:00;SP2;SP;21:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
20.06.2020;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
20.06.2020;NS;14:40:00;SP2;SP;15:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
22.06.2020;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
23.06.2020;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
23.06.2020;NS;16:30:00;SP2;SP;17:10:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2020;NS;11:45:00;SP2;SP;12:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2020;NS;17:10:00;SP2;SP;17:50:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
26.06.2020;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
26.06.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
27.06.2020;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
27.06.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
29.06.2020;NS;09:00:00;SP2;SP;09:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2020;NS;09:30:00;SP2;SP;10:10:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
02.07.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
02.07.2020;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
03.07.2020;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
03.07.2020;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2020;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
05.07.2020;NS;15:10:00;SP2;SP;15:50:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
06.07.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
06.07.2020;NS;15:45:00;SP2;SP;16:25:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
07.07.2020;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
08.07.2020;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
08.07.2020;NS;17:10:00;SP2;SP;17:50:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
10.07.2020;NS;13:00:00;SP2;SP;13:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
10.07.2020;NS;18:30:00;SP2;SP;19:10:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
11.07.2020;NS;19:10:00;SP2;SP;19:50:00;1;Fahrplan 2020;0;1;0;0;0;;0;0;Banderole 1;0
12.07.2020;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
13.07.2020;NS;08:15:00;SP2;SP;08:55:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
13.07.2020;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
