date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-17 08:00:00,63.0,25.0,17.0,16.0,2.0,13.0,0.0,0.0,0.0,16.0,12.0,1.0,12.0,8.0,0.0,4.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,550.0,0.0,0.0,276.66,0.0,7.0,4.64,169.0
2019-02-17 09:00:00,34.0,0.0,17.0,20.0,2.0,8.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,13.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,550.0,0.0,0.0,278.12,0.0,34.0,5.24,168.0
2019-02-17 10:00:00,5.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,550.0,1.0,0.0,279.95,0.0,38.0,5.37,168.0
2019-02-17 11:00:00,0.0,0.0,7.0,0.0,3.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,550.0,0.0,1.0,281.74,0.0,8.0,5.07,168.0
2019-02-17 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,283.44,0.0,0.0,4.9,168.0
2019-02-17 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,285.4,0.0,0.0,4.83,163.0
2019-02-17 14:00:00,0.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,550.0,0.0,0.0,286.36,0.0,27.0,4.84,159.0
2019-02-17 15:00:00,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,550.0,0.0,0.0,285.95,0.0,71.0,4.77,158.0
2019-02-18 08:00:00,23.0,4.0,13.0,12.0,0.0,5.0,6.0,6.0,0.0,7.0,0.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,550.0,0.0,0.0,276.47,0.0,9.0,5.09,203.0
2019-02-18 09:00:00,8.0,5.0,8.0,7.0,2.0,2.0,2.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,550.0,0.0,1.0,277.82,0.0,9.0,5.09,199.0
2019-02-18 10:00:00,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,550.0,0.0,0.0,280.56,0.0,4.0,5.07,197.0
2019-02-18 11:00:00,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,550.0,1.0,0.0,282.77,0.0,2.0,4.79,191.0
