Model,Baseline,Baseline,Baseline,ITransformer,ITransformer,ITransformer,TiDE,TiDE,TiDE
Metric,mse,mae,rmse,mse,mae,rmse,mse,mae,rmse
sales_forecasting_8h_top2,331.1601257324219,9.530552864074709,18.197803497314453,,,,,,
sales_forecasting_8h_top16,87.50955963134766,4.365874767303467,9.354653358459473,,,,,,
sales_forecasting_8h_top32,46.765724182128906,2.9471118450164795,6.838546752929688,,,,,,
sales_forecasting_8h_top64,23.942523956298828,1.6687846183776855,4.893110275268555,,,,,,
sales_forecasting_16h_top2,167.6884002685547,4.8763861656188965,12.949458122253418,,,,,,
sales_forecasting_16h_top16,44.1912841796875,2.2242648601531982,6.647654056549072,,,,,,
sales_forecasting_16h_top32,23.61380386352539,1.4996780157089233,4.85940408706665,,,,,,
sales_forecasting_16h_top64,12.089309692382812,0.8488235473632812,3.47696852684021,,,,,,
sales_forecasting_24h_top2,111.75798797607422,3.250299453735352,10.57156467437744,,,,,,
sales_forecasting_24h_top16,29.45415687561035,1.4826643466949463,5.427169322967529,,,,,,
sales_forecasting_24h_top32,15.739090919494627,0.9996700286865234,3.967252492904663,,,,,,
sales_forecasting_24h_top64,8.057765007019043,0.5658100843429565,2.838620662689209,,,,,,
sales_forecasting_1d_top2,5724.3603515625,48.52327728271485,75.65950775146484,,,,,,
sales_forecasting_1d_top16,1563.2437744140625,21.63751602172852,39.53787612915039,,,,,,
sales_forecasting_1d_top32,757.9925537109375,13.897998809814451,27.53166580200196,,,,,,
sales_forecasting_1d_top64,386.5489196777344,7.903090953826904,19.66084861755371,,,,,,
sales_forecasting_1w_top2,67308.421875,173.796875,259.43865966796875,,,,,,
sales_forecasting_1w_top16,19592.251953125,84.201171875,139.97232055664062,,,,,,
sales_forecasting_1w_top32,9789.7607421875,52.6494140625,98.94322204589844,,,,,,
sales_forecasting_1w_top64,4976.73779296875,29.55419921875,70.5459976196289,,,,,,

