Model,Baseline,Baseline,Baseline,iTransformer,iTransformer,iTransformer,iTransformer,TiDE,TiDE,TiDE,TiDE,Baseline
Metric,loss,mae,rmse,loss,mae,rmse,mse,loss,mae,mse,rmse,mse
Dataset,,,,,,,,,,,,
sales_forecasting_8h_top64,27.91765022277832,1.7716866731643677,5.28371524810791,,,,,16.04081916809082,1.691637396812439,15.852846145629885,4.005099296569824,
sales_forecasting_8h_top16,97.12421417236328,4.6811842918396,9.522775650024414,122.9282455444336,8.659124374389648,13.96096897125244,194.9086151123047,200.3307647705078,11.79225730895996,317.38726806640625,17.96807861328125,90.68325805664062
sales_forecasting_8h_top2,442.7821350097656,11.499958992004396,21.042388916015625,242.0080108642578,9.38193416595459,15.556605339050291,,260.1882629394531,9.877090454101562,252.39112854003903,16.130352020263672,
sales_forecasting_8h_top32,54.67578125,3.124476909637451,7.3943071365356445,30.979246139526367,2.683809995651245,5.5659003257751465,,32.65098571777344,2.885194778442383,32.34211730957031,5.714104175567627,
sales_forecasting_16h_top16,137.1580047607422,4.53338623046875,9.343027114868164,66.65267181396484,4.526891708374023,8.164109230041504,66.65267181396484,74.77172088623047,5.408576488494873,73.5682373046875,8.647064208984375,87.29215240478516
sales_forecasting_16h_top2,378.4635925292969,10.93263339996338,19.45414161682129,324.3830871582031,16.02608871459961,21.947629928588867,481.6984252929688,239.7408142089844,9.391687393188477,231.13742065429688,15.483566284179688,378.4635925292969
sales_forecasting_16h_top64,26.84896850585937,1.716864824295044,5.181599140167236,,,,,15.424934387207031,1.6267585754394531,15.014975547790527,3.9274590015411377,
sales_forecasting_16h_top32,52.547176361083984,3.0266237258911133,7.248943328857422,37.07361602783203,3.212676763534546,6.088810920715332,37.07361602783203,30.60608291625977,2.759107112884521,29.92806434631348,5.532276630401611,
sales_forecasting_24h_top16,93.40101623535156,4.43354082107544,9.664420127868652,,,,,56.84799957275391,3.927781820297241,55.47734451293945,7.539761066436768,
sales_forecasting_24h_top2,428.0452270507813,11.21943187713623,20.689252853393555,,,,,251.49191284179688,9.75347900390625,244.81475830078125,15.85849666595459,
sales_forecasting_24h_top64,26.85169982910156,1.716917872428894,5.181861877441406,,,,,,,,,
sales_forecasting_24h_top32,52.552513122558594,3.026670455932617,7.249311447143555,,,,,,,,,
sales_forecasting_1d_top2,6485.5087890625,48.59442138671875,80.53265380859375,3556.24462890625,42.368431091308594,59.63425827026367,3556.24462890625,3089.66845703125,39.53266525268555,3206.44775390625,55.58478546142578,
sales_forecasting_1d_top32,889.5618286132812,13.372979164123535,29.825523376464844,510.8793029785156,11.937596321105955,22.60264015197754,510.87933349609375,469.11822509765625,12.73493194580078,480.6141662597656,21.65913772583008,
sales_forecasting_1d_top16,1643.0982666015625,20.18208885192871,40.53514862060547,940.4497680664062,17.607566833496094,30.666751861572266,940.4497680664062,827.3379516601562,17.73648452758789,857.549560546875,28.76348304748535,
sales_forecasting_1d_top64,452.1083068847656,7.670527935028076,21.26283836364746,242.5926055908203,6.571725368499756,15.575384140014648,242.5926055908203,249.8714599609375,8.402738571166992,254.4078063964844,15.807323455810549,
sales_forecasting_1w_top2,72175.1953125,176.62820434570312,268.6544189453125,,,,,,,,,
sales_forecasting_1w_top32,10028.0029296875,51.97595977783203,100.1399154663086,,,,,,,,,
sales_forecasting_1w_top16,19882.21484375,82.93589782714844,141.00430297851562,,,,,,,,,
sales_forecasting_1w_top64,5086.44140625,29.040864944458008,71.31929016113281,,,,,,,,,
